FECHA,HORA,ACO,AJM,AJU,ATI,BJU,CAM,CCA,CHO,COY,CUA,CUT,FAC,FAR,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
04/01/23,5,10,0,-99,2,-99,23,9,65,-99,13,1,6,-99,36,-99,11,-99,-99,45,61,23,-99,30,-99,61,33,-99,-99,-99,16,-99,-99,32,93,-99
04/01/23,6,16,0,-99,15,-99,38,14,45,-99,8,1,15,-99,37,-99,21,-99,-99,81,138,71,-99,36,-99,53,87,-99,-99,-99,21,-99,-99,56,71,-99
04/01/23,7,23,1,-99,55,-99,53,17,139,-99,32,4,61,-99,66,-99,104,-99,-99,169,110,154,-99,54,-99,101,99,-99,-99,-99,70,-99,-99,111,129,-99
04/01/23,8,35,4,-99,102,-99,285,48,170,-99,78,19,60,-99,134,-99,211,-99,-99,175,212,231,-99,93,-99,234,104,-99,-99,-99,136,-99,-99,111,124,-99
04/01/23,9,41,33,-99,92,-99,116,76,129,-99,69,26,102,-99,140,-99,145,-99,-99,168,141,169,-99,142,-99,245,121,-99,-99,-99,212,-99,-99,103,139,-99
04/01/23,10,44,19,-99,49,-99,80,40,89,-99,26,47,76,-99,86,-99,95,-99,-99,98,91,56,-99,70,-99,76,110,-99,-99,22,99,-99,-99,46,87,-99
04/01/23,11,6,11,-99,21,-99,47,24,36,-99,11,63,39,-99,40,-99,34,-99,-99,57,35,10,-99,27,-99,51,47,-99,-99,16,59,-99,-99,39,41,-99
04/01/23,12,3,7,-99,21,-99,13,11,16,-99,15,19,18,-99,22,-99,16,-99,-99,18,13,3,-99,14,-99,12,20,-99,-99,7,36,-99,-99,17,12,-99
04/01/23,13,2,5,-99,9,-99,7,7,6,-99,11,7,12,-99,13,-99,7,-99,-99,10,10,1,-99,8,-99,7,6,-99,-99,7,14,-99,8,8,5,-99
04/01/23,14,1,4,-99,4,-99,5,6,3,-99,8,4,10,-99,7,-99,3,-99,-99,7,7,0,-99,4,-99,4,2,-99,-99,4,17,-99,5,3,5,-99
04/01/23,15,1,3,-99,3,-99,4,3,1,-99,5,4,7,-99,4,-99,1,-99,-99,7,4,0,-99,2,-99,3,1,-99,-99,2,11,-99,1,2,2,-99
04/01/23,16,1,2,-99,2,-99,2,1,1,-99,3,2,4,-99,2,-99,0,-99,-99,1,30,0,-99,1,-99,1,0,-99,-99,0,7,-99,0,1,1,-99
04/01/23,17,1,1,-99,1,-99,1,1,2,-99,2,2,2,-99,2,-99,0,-99,-99,1,2,0,-99,1,-99,1,0,-99,-99,1,8,-99,0,2,1,-99
04/01/23,18,1,1,-99,1,-99,2,0,5,-99,4,3,4,-99,2,-99,0,-99,-99,8,2,0,-99,1,-99,1,1,-99,-99,1,12,-99,0,12,1,-99
04/01/23,19,1,1,-99,1,-99,7,1,8,-99,4,7,6,-99,2,-99,5,-99,-99,38,5,0,-99,1,-99,1,2,-99,-99,0,12,-99,1,4,3,-99
04/01/23,20,0,2,-99,4,-99,4,1,10,-99,3,11,9,-99,2,-99,4,-99,-99,5,5,0,-99,2,-99,3,6,-99,-99,1,21,-99,1,1,4,-99
04/01/23,21,1,3,-99,4,-99,6,1,30,-99,7,10,50,-99,1,-99,7,-99,-99,19,9,1,-99,5,-99,-99,9,-99,-99,1,24,-99,0,2,4,-99
04/01/23,22,2,1,-99,5,-99,12,2,20,-99,3,10,9,-99,3,-99,7,-99,-99,30,7,1,-99,8,-99,-99,14,-99,-99,1,14,-99,3,23,5,-99
04/01/23,23,2,1,-99,3,-99,6,7,7,-99,10,4,11,-99,4,-99,5,-99,-99,27,4,1,-99,21,-99,14,23,-99,-99,3,12,-99,13,27,4,-99
04/01/23,24,1,1,-99,4,-99,12,9,44,-99,2,5,6,-99,3,-99,4,-99,-99,14,4,1,-99,33,-99,32,3,-99,-99,3,8,-99,3,21,2,-99
05/01/23,1,1,1,-99,2,-99,3,1,28,-99,1,1,2,-99,2,-99,2,-99,-99,10,2,5,-99,9,-99,17,0,-99,-99,1,5,-99,14,14,2,-99
05/01/23,2,2,0,-99,1,-99,1,1,7,-99,1,1,2,-99,1,-99,3,-99,-99,4,2,5,-99,1,-99,4,0,-99,-99,2,3,-99,28,18,4,-99
05/01/23,3,1,0,-99,1,-99,3,1,18,-99,0,1,1,-99,2,-99,2,-99,-99,18,23,7,-99,0,-99,2,1,-99,-99,2,20,-99,25,20,10,-99
05/01/23,4,1,0,-99,1,-99,6,1,56,-99,1,1,2,-99,3,-99,19,-99,-99,14,47,15,-99,0,-99,0,9,-99,-99,1,13,-99,51,17,6,-99
05/01/23,5,2,0,-99,1,-99,5,1,71,-99,5,1,2,-99,19,-99,40,-99,-99,41,66,11,-99,0,-99,3,6,-99,-99,2,1,-99,141,13,9,-99
05/01/23,6,9,0,-99,15,-99,39,2,125,-99,19,1,8,-99,41,-99,50,-99,-99,58,55,61,-99,4,-99,13,47,-99,-99,1,20,-99,97,29,48,-99
05/01/23,7,28,0,-99,78,-99,190,11,100,-99,31,2,54,-99,62,-99,71,-99,-99,136,178,140,-99,56,-99,42,83,-99,-99,24,71,-99,64,113,68,-99
05/01/23,8,37,4,-99,78,-99,136,63,-99,-99,102,19,88,-99,159,-99,103,-99,-99,176,109,160,-99,87,-99,224,151,-99,-99,46,165,-99,97,113,42,-99
05/01/23,9,40,25,-99,12,-99,122,61,-99,-99,20,25,121,-99,140,-99,91,-99,-99,150,67,99,-99,44,-99,105,98,-99,-99,49,178,-99,45,39,48,-99
05/01/23,10,11,25,-99,10,-99,79,49,-99,-99,7,80,50,-99,73,-99,71,-99,-99,85,39,24,-99,37,-99,35,39,-99,-99,35,82,-99,46,33,18,-99
05/01/23,11,5,24,-99,8,-99,23,33,-99,-99,7,20,12,-99,24,-99,40,-99,-99,43,21,5,-99,18,-99,17,12,-99,-99,17,56,-99,26,36,8,-99
05/01/23,12,5,12,-99,7,-99,12,13,-99,-99,7,9,11,-99,17,-99,12,-99,-99,22,11,2,-99,26,-99,14,6,-99,-99,10,17,-99,20,29,7,-99
05/01/23,13,1,5,-99,5,-99,6,5,5,-99,4,5,6,-99,9,-99,-99,-99,-99,10,8,2,-99,16,-99,15,4,-99,-99,11,14,-99,6,14,4,-99
05/01/23,14,1,4,-99,3,-99,3,5,5,-99,4,4,6,-99,7,-99,1,-99,-99,4,5,0,-99,3,-99,4,3,-99,-99,8,7,-99,3,3,3,-99
05/01/23,15,1,3,-99,2,-99,1,3,3,-99,4,3,3,-99,3,-99,0,-99,-99,4,3,0,-99,2,-99,1,1,-99,-99,3,6,-99,1,3,3,-99
05/01/23,16,3,2,-99,1,-99,1,1,1,-99,3,3,2,-99,5,-99,1,-99,-99,7,2,0,-99,2,-99,1,2,-99,-99,1,8,-99,0,2,2,-99
05/01/23,17,1,1,-99,2,-99,2,1,2,-99,2,4,2,-99,5,-99,0,-99,-99,4,2,0,-99,2,-99,1,4,-99,-99,-99,7,-99,0,3,3,-99
05/01/23,18,2,1,-99,2,-99,3,1,6,-99,1,4,5,-99,9,-99,1,-99,-99,8,4,0,-99,3,-99,1,2,-99,-99,1,8,-99,0,4,4,-99
05/01/23,19,2,1,-99,2,-99,4,1,5,-99,2,3,2,-99,2,-99,3,-99,-99,17,4,0,-99,4,-99,3,1,-99,-99,0,6,-99,0,2,3,-99
05/01/23,20,4,2,-99,1,-99,6,0,7,-99,2,17,1,-99,2,-99,3,-99,-99,22,4,0,-99,5,-99,5,2,-99,-99,1,9,-99,1,3,2,-99
05/01/23,21,2,2,-99,3,-99,4,0,3,-99,4,14,1,-99,2,-99,3,-99,-99,13,4,0,-99,4,-99,4,2,-99,-99,4,10,-99,1,10,2,-99
05/01/23,22,2,3,-99,4,-99,4,0,3,-99,4,11,0,-99,2,-99,3,-99,-99,6,3,0,-99,5,-99,5,2,-99,-99,4,8,-99,1,3,2,-99
05/01/23,23,1,3,-99,3,-99,4,0,6,-99,3,3,1,-99,1,-99,2,-99,-99,6,4,0,-99,5,-99,6,2,-99,-99,4,5,-99,1,4,3,-99
05/01/23,24,1,3,-99,4,-99,5,1,47,-99,2,1,1,-99,1,-99,3,-99,-99,5,6,0,-99,2,-99,4,1,-99,-99,3,5,-99,0,4,2,-99
06/01/23,1,2,3,-99,2,-99,2,0,48,-99,4,1,3,-99,1,-99,2,-99,-99,7,5,8,-99,1,-99,2,0,-99,-99,2,3,-99,0,2,2,-99
