FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CHO,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,MER,MGH,MPA,NEZ,PED,SAC,SAG,SFE,TAH,TLA,TLI,UIZ,VIF,XAL
04/01/23,3,61,-99,14,17,19,32,21,13,17,-99,37,-99,6,23,25,-99,26,47,-99,-99,53,-99,27,33,-99,35,103,-99
04/01/23,4,47,-99,15,25,25,36,22,11,10,-99,52,-99,5,34,29,-99,25,45,-99,-99,45,-99,20,34,-99,37,84,-99
04/01/23,5,42,-99,16,26,24,35,17,15,20,-99,51,-99,7,53,38,-99,16,50,-99,-99,50,-99,35,33,-99,37,73,-99
04/01/23,6,42,-99,17,23,26,51,17,3,22,-99,45,-99,9,63,26,-99,13,53,-99,-99,64,-99,26,38,-99,39,49,-99
04/01/23,7,49,-99,40,36,29,39,18,17,26,-99,53,-99,7,68,48,-99,15,49,-99,-99,62,-99,15,55,-99,49,87,-99
04/01/23,8,59,-99,48,44,89,90,28,31,47,-99,64,-99,6,87,54,-99,17,83,-99,-99,71,-99,58,72,-99,49,106,-99
04/01/23,9,59,-99,57,39,57,100,25,38,63,-99,88,-99,19,77,57,-99,26,95,-99,-99,91,-99,-99,91,-99,53,138,-99
04/01/23,10,55,-99,56,44,59,111,31,75,51,-99,100,-99,15,70,55,-99,39,78,-99,-99,90,-99,81,69,-99,52,118,-99
04/01/23,11,44,-99,50,51,64,95,31,76,40,-99,86,-99,26,53,65,-99,41,62,-99,-99,82,-99,58,64,-99,65,94,-99
04/01/23,12,35,-99,35,41,48,79,29,35,8,-99,93,-99,30,37,47,-99,20,51,-99,-99,72,-99,34,79,-99,50,42,-99
04/01/23,13,32,-99,21,46,26,61,35,28,9,-99,-99,-99,20,33,48,-99,36,55,-99,-99,60,-99,51,59,-99,50,35,-99
04/01/23,14,25,-99,17,47,27,56,37,24,3,-99,-99,-99,27,30,53,-99,63,49,-99,-99,45,-99,43,62,-99,40,42,-99
04/01/23,15,33,-99,15,44,58,48,34,30,-99,-99,-99,-99,33,18,50,-99,66,37,-99,-99,34,-99,39,50,-99,49,17,-99
04/01/23,16,36,-99,45,39,40,52,31,-99,52,-99,-99,-99,42,42,39,-99,62,37,-99,-99,38,-99,6,63,-99,41,12,-99
04/01/23,17,42,-99,36,35,50,62,38,42,84,-99,37,-99,41,22,30,-99,67,35,-99,-99,32,-99,50,68,-99,45,12,-99
04/01/23,18,41,-99,37,41,58,56,43,43,74,-99,58,-99,39,37,42,-99,56,48,-99,-99,61,-99,97,60,-99,63,105,-99
04/01/23,19,71,-99,100,48,70,60,68,170,116,-99,67,-99,35,79,42,-99,36,67,-99,-99,104,-99,100,87,-99,57,118,-99
04/01/23,20,46,-99,101,51,60,85,48,122,154,-99,50,-99,31,86,47,-99,43,65,-99,-99,56,-99,108,53,-99,49,60,-99
04/01/23,21,40,-99,38,36,29,105,70,56,69,-99,44,-99,42,47,38,-99,54,47,-99,-99,47,-99,68,57,-99,34,67,-99
04/01/23,22,34,-99,35,38,57,92,58,59,41,-99,49,-99,36,52,41,-99,57,50,-99,-99,50,-99,62,58,-99,40,85,-99
04/01/23,23,43,-99,43,45,48,77,55,55,52,-99,51,-99,24,45,45,-99,48,57,-99,-99,50,-99,51,60,-99,48,70,-99
04/01/23,24,36,-99,46,39,49,77,46,43,50,-99,58,-99,19,53,44,-99,41,57,-99,-99,55,-99,39,61,-99,55,32,-99
05/01/23,1,28,-99,36,38,50,99,44,47,18,-99,49,-99,24,39,42,-99,45,58,-99,-99,25,-99,41,56,-99,37,55,-99
05/01/23,2,40,-99,22,27,37,64,31,31,27,-99,44,-99,18,36,32,-99,39,47,-99,-99,32,-99,51,60,-99,43,51,-99
05/01/23,3,36,-99,16,24,39,51,24,21,26,-99,41,-99,17,39,35,-99,35,31,-99,-99,40,-99,31,64,-99,41,59,-99
05/01/23,4,40,-99,11,24,34,69,24,12,20,-99,39,-99,15,45,39,-99,28,45,-99,-99,46,-99,23,43,-99,40,48,-99
05/01/23,5,38,-99,11,23,28,61,29,12,28,-99,40,-99,15,52,38,-99,25,44,-99,-99,41,-99,27,33,-99,50,64,-99
05/01/23,6,36,-99,19,22,32,68,28,2,21,-99,48,-99,11,50,41,-99,22,45,-99,-99,47,-99,31,32,-99,51,74,-99
05/01/23,7,49,-99,33,39,67,73,31,16,35,-99,55,-99,15,53,51,-99,22,62,-99,-99,58,-99,50,44,-99,53,75,-99
05/01/23,8,56,-99,47,56,65,-99,43,44,92,-99,78,-99,14,74,59,-99,24,79,-99,-99,90,-99,68,75,-99,54,95,-99
05/01/23,9,64,-99,41,64,76,135,26,92,34,-99,95,-99,26,78,59,-99,33,61,-99,-99,88,-99,90,116,-99,52,112,-99
05/01/23,10,57,-99,57,74,79,141,31,132,69,-99,105,-99,27,83,69,-99,43,75,-99,-99,107,-99,89,110,-99,55,88,-99
05/01/23,11,41,-99,28,57,68,109,40,68,48,-99,92,-99,29,72,61,-99,58,79,-99,-99,85,-99,70,107,-99,70,51,-99
