FECHA,HORA,AJM,AJU,BJU,CAM,CCA,COY,FAR,GAM,HGM,INN,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TLA,UAX,UIZ,XAL
04/01/23,3,-99,-99,9,12,10,-99,27,12,-99,3,10,-99,9,15,22,-99,22,26,-99,-99,23,19,18,-99
04/01/23,4,-99,-99,14,11,9,-99,26,22,-99,2,17,-99,13,15,25,-99,29,21,-99,-99,22,16,19,-99
04/01/23,5,-99,-99,15,13,11,-99,23,22,-99,4,26,-99,16,10,27,-99,55,25,-99,-99,20,22,20,-99
04/01/23,6,-99,-99,13,17,9,-99,26,20,-99,7,14,-99,18,6,25,-99,58,28,-99,-99,23,22,20,-99
04/01/23,7,-99,-99,19,13,7,-99,23,23,-99,4,23,-99,26,7,30,-99,43,24,-99,-99,29,18,26,-99
04/01/23,8,-99,-99,26,26,12,-99,24,21,-99,3,30,-99,38,10,50,-99,50,26,-99,-99,35,26,27,-99
04/01/23,9,-99,-99,21,22,8,-99,21,28,-99,1,34,-99,52,13,47,-99,72,33,-99,-99,38,19,25,-99
04/01/23,10,-99,-99,26,29,11,-99,12,41,-99,8,34,-99,37,23,43,-99,56,36,-99,-99,34,18,27,-99
04/01/23,11,-99,-99,33,34,22,-99,23,46,-99,15,50,-99,27,22,34,-99,70,42,-99,-99,34,9,38,-99
04/01/23,12,-99,-99,25,27,15,-99,20,51,-99,17,41,-99,14,13,24,-99,45,37,-99,-99,39,18,28,-99
04/01/23,13,-99,-99,30,6,17,-99,13,-99,-99,10,35,-99,5,22,22,-99,34,20,-99,-99,30,23,26,-99
04/01/23,14,-99,-99,34,6,19,-99,13,-99,-99,15,41,-99,12,38,17,-99,28,21,-99,-99,34,13,23,-99
04/01/23,15,-99,-99,31,38,26,-99,12,-99,-99,18,37,-99,14,36,20,-99,95,13,-99,-99,27,13,29,-99
04/01/23,16,-99,-99,25,25,19,-99,12,-99,-99,21,28,-99,15,35,16,-99,67,17,-99,-99,32,6,24,-99
04/01/23,17,-99,-99,23,28,18,-99,15,17,-99,23,18,-99,10,33,16,-99,52,17,-99,-99,35,18,24,-99
04/01/23,18,-99,-99,26,19,16,-99,18,16,-99,24,28,-99,18,26,19,-99,30,17,-99,-99,24,22,30,-99
04/01/23,19,-99,-99,22,28,24,-99,18,16,-99,21,13,-99,44,21,23,-99,36,14,-99,-99,27,25,25,-99
04/01/23,20,-99,-99,11,28,15,-99,17,5,-99,19,16,-99,18,25,15,-99,4,15,-99,-99,11,26,13,-99
04/01/23,21,-99,-99,14,2,11,-99,16,10,-99,22,16,-99,22,31,16,-99,-99,14,-99,-99,18,27,11,-99
04/01/23,22,-99,-99,16,29,12,-99,17,19,-99,18,18,-99,21,28,21,-99,-99,17,-99,-99,19,22,15,-99
04/01/23,23,-99,-99,21,19,18,-99,20,18,-99,14,18,-99,15,26,19,-99,1,18,-99,-99,24,23,20,-99
04/01/23,24,-99,-99,19,17,15,-99,16,17,-99,10,21,-99,18,21,22,-99,33,22,-99,-99,26,17,22,-99
05/01/23,1,-99,-99,22,25,19,-99,21,22,-99,14,21,-99,22,22,26,-99,23,10,-99,-99,24,22,13,-99
05/01/23,2,-99,-99,17,18,17,-99,20,15,-99,10,17,-99,23,21,22,-99,23,15,-99,-99,31,29,20,-99
05/01/23,3,-99,-99,14,20,14,-99,18,18,-99,11,19,-99,20,19,12,-99,20,20,-99,-99,30,24,21,-99
05/01/23,4,-99,-99,14,19,14,-99,15,19,-99,10,25,-99,21,15,21,-99,22,23,-99,-99,21,15,21,-99
05/01/23,5,-99,-99,17,16,13,-99,26,17,-99,11,23,-99,18,16,29,-99,27,19,-99,-99,19,20,29,-99
05/01/23,6,-99,-99,14,18,13,-99,24,22,-99,6,24,-99,24,14,31,-99,30,20,-99,-99,17,20,32,-99
05/01/23,7,-99,-99,24,33,13,-99,28,23,-99,10,31,-99,38,14,33,-99,46,24,-99,-99,20,23,28,-99
05/01/23,8,-99,-99,34,29,16,-99,20,28,-99,9,30,-99,45,14,35,-99,79,34,-99,-99,27,32,27,-99
05/01/23,9,-99,-99,34,35,14,-99,27,30,-99,10,28,-99,45,18,25,-99,77,38,-99,-99,46,23,27,-99
05/01/23,10,-99,-99,41,36,24,-99,27,42,-99,14,45,-99,34,28,32,-99,69,40,-99,-99,40,35,33,-99
05/01/23,11,-99,-99,33,34,32,-99,29,46,-99,12,37,-99,22,35,38,-99,55,24,-99,-99,45,33,42,-99
05/01/23,12,-99,-99,27,29,28,-99,40,47,-99,15,28,-99,20,28,48,-99,130,31,-99,-99,28,39,49,-99
05/01/23,13,-99,-99,31,9,17,-99,8,27,-99,12,20,-99,16,43,37,-99,105,15,-99,-99,24,24,39,-99
05/01/23,14,-99,-99,33,-99,19,-99,10,10,-99,13,25,-99,-99,69,14,-99,71,12,-99,-99,15,2,20,-99
05/01/23,15,-99,-99,20,16,19,-99,1,16,-99,18,4,-99,-99,61,13,-99,52,7,-99,-99,17,-99,18,-99
05/01/23,16,-99,-99,13,3,18,-99,5,8,-99,23,-99,-99,4,56,9,-99,28,8,-99,-99,13,9,15,-99
05/01/23,17,-99,-99,14,12,14,-99,5,6,-99,29,5,-99,4,44,6,-99,-99,13,-99,-99,7,8,11,-99
05/01/23,18,-99,-99,12,3,13,-99,13,11,-99,24,4,-99,20,38,9,-99,12,9,-99,-99,13,17,11,-99
05/01/23,19,-99,-99,11,22,15,-99,15,19,-99,19,1,-99,25,129,15,-99,19,13,-99,-99,20,19,9,-99
05/01/23,20,-99,-99,9,17,12,-99,19,6,-99,15,16,-99,21,86,14,-99,21,12,-99,-99,14,28,11,-99
05/01/23,21,-99,-99,12,12,15,-99,19,9,-99,11,13,-99,20,25,16,-99,23,17,-99,-99,19,28,10,-99
05/01/23,22,-99,-99,14,12,11,-99,11,10,-99,13,12,-99,15,20,13,-99,17,10,-99,-99,16,19,14,-99
05/01/23,23,-99,-99,19,12,18,-99,25,12,-99,10,13,-99,15,20,12,-99,20,9,-99,-99,14,23,11,-99
05/01/23,24,-99,-99,18,20,17,-99,9,12,-99,5,19,-99,14,20,12,-99,25,10,-99,-99,17,17,14,-99
