FECHA,HORA,ACO,AJM,AJU,ATI,BJU,CAM,CCA,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
03/01/23,4,21,3,-99,7,24,32,18,9,-99,5,16,7,11,14,29,-99,25,-99,-99,27,29,6,5,11,15,4,16,-99,-99,4,29,-99,2,4,25,-99
03/01/23,5,18,8,-99,8,22,33,16,18,-99,6,7,6,13,28,30,-99,28,-99,-99,27,29,8,5,14,15,5,18,-99,-99,6,29,-99,18,11,23,-99
03/01/23,6,19,9,-99,20,23,30,18,23,-99,17,14,11,22,25,31,-99,29,-99,-99,33,25,15,4,26,14,23,24,-99,-99,12,30,-99,24,16,23,-99
03/01/23,7,19,7,-99,24,23,29,22,22,-99,20,27,24,24,27,28,-99,26,-99,-99,28,28,19,2,28,17,21,25,-99,-99,20,28,-99,20,23,23,-99
03/01/23,8,22,11,-99,22,24,28,21,22,-99,25,31,27,27,31,27,-99,26,-99,-99,28,31,20,2,25,21,16,26,-99,-99,16,31,-99,21,23,25,-99
03/01/23,9,23,11,-99,27,26,33,20,19,-99,16,35,28,29,36,34,-99,33,-99,-99,32,31,21,2,29,24,17,31,-99,-99,15,36,-99,22,22,28,-99
03/01/23,10,20,15,-99,24,29,37,27,14,-99,11,39,33,35,38,31,-99,33,-99,-99,35,17,8,2,36,30,20,31,-99,-99,21,34,-99,14,14,28,-99
03/01/23,11,13,18,-99,26,30,39,16,7,-99,7,25,32,25,29,28,-99,30,-99,-99,27,24,7,5,19,15,18,-99,-99,-99,11,36,-99,13,12,19,-99
03/01/23,12,6,13,-99,17,19,24,15,6,-99,4,9,22,18,20,19,-99,15,-99,-99,17,24,3,3,16,-99,14,17,-99,-99,7,15,-99,5,7,9,-99
03/01/23,13,9,12,-99,7,9,10,8,7,-99,4,14,6,12,10,12,-99,10,-99,-99,14,8,3,3,14,-99,8,11,-99,-99,5,13,-99,-99,7,7,-99
03/01/23,14,12,10,-99,7,10,6,8,9,-99,5,12,7,9,9,10,-99,8,-99,-99,16,6,4,2,13,-99,7,13,-99,-99,5,10,-99,-99,11,9,-99
03/01/23,15,10,11,-99,5,7,6,9,8,-99,6,5,8,7,7,12,-99,9,-99,-99,16,7,6,3,16,-99,7,12,-99,-99,5,12,-99,-99,11,8,-99
03/01/23,16,12,15,-99,6,9,8,7,9,-99,5,3,7,7,9,12,-99,8,-99,-99,18,7,8,3,14,-99,9,13,-99,-99,7,11,-99,-99,15,7,-99
03/01/23,17,10,14,-99,7,8,9,6,10,-99,6,4,5,8,11,10,-99,9,-99,-99,16,7,10,3,16,-99,8,18,-99,-99,9,11,-99,-99,11,6,-99
03/01/23,18,23,10,-99,9,14,12,8,12,-99,8,6,5,13,15,14,-99,13,-99,-99,23,10,12,3,22,-99,9,21,-99,-99,12,13,-99,-99,15,8,-99
03/01/23,19,22,15,-99,12,17,21,16,21,-99,8,11,7,24,27,15,-99,17,-99,-99,22,12,20,4,30,-99,16,37,-99,-99,9,18,-99,-99,31,18,-99
03/01/23,20,28,9,-99,10,20,23,21,28,-99,7,13,13,32,28,19,-99,20,-99,-99,29,15,22,4,41,-99,22,42,-99,-99,17,17,-99,-99,29,31,-99
03/01/23,21,40,15,-99,13,21,28,22,32,-99,14,16,27,33,31,23,-99,21,-99,-99,27,20,22,4,42,-99,24,43,-99,-99,31,27,-99,-99,24,30,-99
03/01/23,22,33,17,-99,25,35,26,27,28,-99,15,18,28,37,38,32,-99,35,-99,-99,29,22,25,4,30,-99,23,44,-99,-99,41,29,-99,-99,44,45,-99
03/01/23,23,28,27,-99,24,39,29,25,42,-99,11,26,26,42,37,39,-99,46,-99,-99,42,30,33,4,42,-99,15,45,-99,-99,36,28,-99,-99,42,44,-99
03/01/23,24,32,16,-99,21,33,28,26,36,-99,11,25,26,41,31,32,-99,43,-99,-99,40,-99,31,-99,-99,-99,14,44,-99,-99,34,28,-99,-99,40,39,-99
04/01/23,1,28,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,40,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
