FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CCA,CHO,CUA,CUT,FAC,FAR,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
04/01/23,20,1,2,2,2,1,0,2,5,2,4,1,1,1,2,-99,1,2,2,1,1,1,-99,-99,1,-99,-99,1,2,-99,1,0,2,-99
04/01/23,21,1,1,1,1,1,1,2,5,1,3,1,1,4,2,-99,1,2,1,1,1,1,-99,-99,1,-99,-99,1,2,-99,1,1,2,-99
04/01/23,22,1,1,3,2,1,1,2,5,1,3,1,1,1,2,-99,2,2,2,1,1,1,-99,-99,1,-99,-99,1,1,-99,1,1,2,-99
04/01/23,23,1,1,4,4,2,1,1,3,1,4,1,2,0,2,-99,1,3,4,1,0,1,-99,-99,1,-99,-99,1,3,-99,1,1,1,-99
04/01/23,24,1,1,4,3,2,0,1,2,1,3,1,3,0,3,-99,1,3,3,1,1,1,-99,-99,1,-99,-99,1,2,-99,2,2,1,-99
05/01/23,1,1,1,3,2,2,1,2,1,2,2,1,4,1,3,-99,1,3,2,1,1,1,-99,-99,1,-99,-99,1,3,-99,1,2,2,-99
05/01/23,2,1,1,2,2,6,1,1,1,2,1,1,2,0,3,-99,1,3,1,1,1,1,-99,-99,1,-99,-99,1,17,-99,1,1,5,-99
05/01/23,3,1,1,1,2,7,1,1,1,1,1,1,8,0,4,-99,1,4,2,1,1,1,-99,-99,1,-99,-99,1,9,-99,1,1,4,-99
05/01/23,4,1,1,0,1,2,1,2,1,1,1,1,7,0,5,-99,1,4,2,1,1,3,-99,-99,2,-99,-99,1,3,-99,1,1,4,-99
05/01/23,5,1,1,0,1,1,1,1,1,1,1,1,4,0,3,-99,1,3,2,1,0,5,-99,-99,1,-99,-99,1,1,-99,1,1,5,-99
05/01/23,6,1,1,1,1,1,1,2,1,1,1,1,3,0,3,-99,2,3,2,2,0,5,-99,-99,2,-99,-99,1,1,-99,1,1,5,-99
05/01/23,7,1,1,2,2,2,0,2,1,1,2,1,3,0,4,-99,2,4,4,3,1,4,-99,-99,2,-99,-99,1,2,-99,1,3,6,-99
05/01/23,8,1,1,2,2,1,1,-99,3,1,2,1,5,0,5,-99,3,5,3,4,1,3,-99,-99,3,-99,-99,1,4,-99,1,4,6,-99
05/01/23,9,1,2,2,6,3,1,3,2,3,4,4,6,1,6,-99,8,6,4,2,2,3,-99,-99,5,-99,-99,2,6,-99,1,4,8,-99
05/01/23,10,1,2,11,7,12,2,4,6,11,6,9,8,1,8,-99,10,6,5,2,2,11,-99,-99,13,-99,-99,5,12,-99,4,12,8,-99
05/01/23,11,1,4,17,11,12,1,12,5,20,14,10,13,1,12,-99,11,16,11,3,3,24,-99,-99,10,-99,-99,6,16,-99,6,11,6,-99
05/01/23,12,2,5,8,9,8,1,18,3,10,9,8,9,2,9,-99,9,10,7,2,4,11,-99,-99,3,-99,-99,5,10,-99,7,10,7,-99
05/01/23,13,1,4,5,7,5,1,10,3,9,5,3,7,2,-99,-99,4,6,5,2,3,6,-99,-99,3,-99,-99,6,7,-99,6,7,4,-99
05/01/23,14,1,4,5,5,3,1,9,2,3,5,2,5,2,3,-99,1,2,5,1,5,2,-99,-99,1,-99,-99,5,3,-99,3,2,1,-99
05/01/23,15,1,4,2,3,1,1,5,3,1,3,1,2,2,2,-99,1,2,3,1,5,1,-99,-99,1,-99,-99,3,1,-99,2,1,1,-99
05/01/23,16,1,3,1,2,1,1,2,3,1,2,1,1,3,2,-99,1,2,2,1,4,1,-99,-99,1,-99,-99,2,1,-99,1,1,1,-99
05/01/23,17,1,2,1,2,1,1,2,1,1,1,1,1,2,1,-99,1,1,1,1,2,1,-99,-99,1,-99,-99,-99,2,-99,1,1,1,-99
05/01/23,18,1,1,1,2,1,1,2,1,1,2,1,1,1,1,-99,1,1,1,1,2,1,-99,-99,1,-99,-99,1,3,-99,1,0,1,-99
05/01/23,19,1,2,1,2,2,1,2,8,1,5,1,1,1,2,-99,2,2,2,1,2,1,-99,-99,1,-99,-99,2,1,-99,1,0,1,-99
05/01/23,20,1,11,1,2,2,1,2,16,2,3,1,2,3,2,-99,1,2,2,1,2,1,-99,-99,1,-99,-99,1,2,-99,1,0,1,-99
05/01/23,21,1,7,1,2,2,1,1,12,1,6,1,2,4,2,-99,2,2,4,1,1,1,-99,-99,1,-99,-99,1,1,-99,2,1,1,-99
05/01/23,22,1,5,6,4,1,1,1,11,1,16,1,2,3,2,-99,1,1,11,1,1,1,-99,-99,1,-99,-99,1,1,-99,2,0,1,-99
05/01/23,23,1,4,33,10,4,1,1,6,4,41,1,9,2,3,-99,1,2,21,0,2,1,-99,-99,0,-99,-99,1,16,-99,5,0,1,-99
05/01/23,24,1,3,12,22,13,1,1,5,12,23,0,30,1,16,-99,1,2,33,0,3,1,-99,-99,1,-99,-99,4,24,-99,14,2,11,-99
06/01/23,1,1,4,8,12,9,1,1,6,5,10,1,15,1,12,-99,3,8,13,1,4,1,-99,-99,2,-99,-99,9,6,-99,14,2,18,-99
06/01/23,2,0,5,4,11,7,1,1,7,2,5,3,12,1,10,-99,6,9,9,1,7,3,-99,-99,4,-99,-99,4,4,-99,9,3,27,-99
06/01/23,3,1,5,3,6,5,1,1,5,2,4,3,9,1,8,-99,5,8,6,1,6,5,-99,-99,7,-99,-99,2,4,-99,4,2,25,-99
06/01/23,4,1,5,2,3,4,1,1,3,2,3,2,7,1,5,-99,3,6,6,1,5,7,-99,-99,5,-99,-99,3,8,-99,3,1,17,-99
06/01/23,5,0,4,1,2,4,1,1,3,1,2,2,6,0,5,-99,2,5,7,2,3,6,-99,-99,2,-99,-99,2,3,-99,3,3,14,-99
06/01/23,6,0,4,2,2,2,1,1,2,1,2,1,6,0,5,-99,3,5,5,2,3,5,-99,-99,1,-99,-99,1,3,-99,1,2,8,-99
06/01/23,7,1,2,2,2,2,1,2,2,1,2,1,5,0,4,-99,3,5,5,3,2,4,-99,-99,2,-99,-99,1,4,-99,1,2,8,-99
06/01/23,8,1,4,3,3,2,1,1,2,1,3,2,5,0,5,-99,4,5,5,5,2,3,-99,-99,3,-99,-99,2,5,-99,2,3,6,-99
06/01/23,9,1,9,6,10,3,1,2,3,3,6,3,8,1,7,-99,7,7,7,3,7,3,-99,-99,3,-99,-99,2,7,-99,3,7,6,-99
06/01/23,10,1,5,9,9,6,1,3,2,5,8,4,8,1,7,-99,7,8,7,2,9,6,-99,-99,5,-99,-99,3,19,-99,4,6,7,-99
06/01/23,11,3,5,8,7,7,1,5,4,8,8,7,7,1,7,-99,8,7,6,6,5,6,-99,-99,7,-99,-99,5,20,-99,5,6,7,-99
06/01/23,12,3,4,-99,6,6,1,4,2,6,6,5,6,1,6,-99,7,6,5,5,4,4,-99,-99,6,-99,-99,4,14,-99,4,5,5,-99
06/01/23,13,2,2,-99,5,3,1,3,2,3,6,4,4,2,4,-99,4,4,4,3,3,3,-99,-99,4,-99,-99,3,5,-99,3,4,4,-99
06/01/23,14,2,2,-99,3,2,0,3,2,2,4,2,2,2,2,-99,4,2,3,3,2,3,-99,-99,2,-99,-99,2,5,-99,2,1,2,-99
06/01/23,15,2,2,1,2,2,1,2,2,2,3,2,2,2,3,-99,3,3,2,2,2,2,-99,-99,2,-99,-99,2,4,-99,1,1,2,-99
06/01/23,16,1,2,2,3,2,1,2,2,2,4,2,2,2,2,-99,3,2,2,2,2,2,-99,-99,2,-99,-99,2,4,-99,1,1,2,-99
06/01/23,17,1,2,2,2,2,1,3,2,2,4,2,2,2,2,-99,2,2,2,2,2,2,-99,-99,2,-99,-99,2,3,-99,1,1,2,-99
06/01/23,18,1,2,2,2,1,1,2,2,2,4,1,2,1,3,-99,2,2,2,2,2,2,-99,-99,1,-99,-99,2,3,-99,2,1,2,-99
06/01/23,19,1,2,4,2,2,1,2,2,25,3,1,2,1,2,-99,2,2,3,2,1,2,-99,-99,2,-99,-99,1,3,-99,1,1,6,-99
06/01/23,20,1,2,8,2,4,1,2,2,21,5,2,2,1,3,-99,6,3,2,2,1,1,-99,-99,3,-99,-99,1,25,-99,1,1,3,-99
06/01/23,21,1,7,7,2,2,1,2,7,3,8,1,3,1,2,-99,3,3,5,2,1,2,-99,-99,2,-99,-99,1,4,-99,1,1,1,-99
06/01/23,22,1,14,11,10,7,2,2,12,2,12,2,10,1,4,-99,3,5,10,1,1,2,-99,-99,1,-99,-99,1,6,-99,1,1,2,-99
06/01/23,23,1,10,12,9,9,1,2,6,7,11,1,11,2,8,-99,2,7,6,1,1,1,-99,-99,1,-99,-99,2,18,-99,5,3,2,-99
06/01/23,24,1,5,10,6,22,1,1,3,13,7,1,13,2,12,-99,1,13,5,1,1,1,-99,-99,1,-99,-99,6,21,-99,5,4,9,-99
07/01/23,1,1,3,6,8,19,1,1,2,10,5,1,14,1,15,-99,2,15,7,2,1,1,-99,-99,2,-99,-99,3,27,-99,3,5,21,-99
07/01/23,2,1,3,3,8,6,1,1,1,4,3,1,11,1,10,-99,1,15,9,2,1,2,-99,-99,8,-99,-99,3,10,-99,2,2,9,-99
07/01/23,3,1,3,2,5,2,1,1,1,3,2,1,9,0,6,-99,2,10,5,2,1,14,-99,-99,5,-99,-99,2,4,-99,1,2,11,-99
07/01/23,4,1,2,1,3,1,1,1,1,2,2,1,6,0,5,-99,3,7,2,2,1,12,-99,-99,3,-99,-99,1,3,-99,1,5,11,-99
07/01/23,5,1,3,1,3,1,1,1,1,2,1,1,6,0,7,-99,3,6,2,1,1,9,-99,-99,2,-99,-99,1,2,-99,1,5,5,-99
07/01/23,6,1,3,1,2,1,0,1,1,1,1,1,6,0,6,-99,4,4,2,2,1,9,-99,-99,2,-99,-99,1,2,-99,1,4,4,-99
