FECHA,HORA,ESTACION,CO,NO,NO2,NOX,O3,PM10,PM25,PMCO,SO2,RH,TMP,WDR,WSP
2023-01-01,3,IZT,1.13,19.0,31.0,50.0,2.0,132.0,23.0,16.0,3.0,51.0,17.4,163.0,1.8
2023-01-01,3,LAA,0.355,3.0,19.0,24.0,26.0,45.0,23.0,16.0,1.0,76.0,11.2,275.0,0.4
2023-01-01,3,LLA,0.355,3.0,19.0,24.0,3.0,45.0,23.0,16.0,1.0,51.0,17.4,163.0,1.8
2023-01-01,3,LPR,1.4,3.0,19.0,24.0,4.0,45.0,23.0,16.0,3.0,51.0,17.4,163.0,1.8
2023-01-01,3,MER,1.14,24.0,31.0,55.0,2.0,97.0,84.0,13.0,2.0,70.0,12.0,172.0,1.4
2023-01-01,3,MGH,1.2,22.0,30.0,52.0,4.0,45.0,23.0,16.0,2.0,35.5,19.9,205.0,1.9
2023-01-01,3,MON,1.53,42.0,22.0,64.0,7.0,45.0,118.0,16.0,2.0,70.0,9.4,81.0,0.7
2023-01-01,3,MPA,0.17,3.0,2.0,24.0,31.0,14.0,11.0,3.0,1.0,74.0,15.5,158.0,1.9
2023-01-01,3,NEZ,1.49,41.0,34.0,75.0,2.0,163.0,143.0,16.0,6.0,62.0,12.6,243.0,0.9
2023-01-01,3,PED,0.4,1.0,14.0,16.0,12.0,37.0,22.0,15.5,1.0,58.0,10.4,211.0,1.9
2023-01-01,3,SAC,1.94,55.0,31.0,86.0,5.0,45.0,197.0,16.0,1.0,73.0,16.6,175.0,0.2
2023-01-01,3,SAG,1.46,66.0,30.0,96.0,1.0,146.0,115.0,31.0,3.0,80.0,12.2,32.0,0.2
2023-01-01,3,SFE,0.355,3.0,19.0,24.0,26.0,45.0,23.0,16.0,1.0,51.0,17.4,163.0,1.8
2023-01-01,3,SJA,0.355,3.0,19.0,24.0,26.0,45.0,23.0,16.0,1.0,51.0,17.4,163.0,1.8
2023-01-01,3,TAH,1.0,8.0,24.0,32.0,4.0,153.0,23.0,16.0,2.0,67.0,8.6,131.0,0.8
2023-01-01,3,TLA,0.75,18.0,26.0,45.0,1.0,62.0,48.0,13.0,1.0,65.0,10.4,316.0,2.0
